q=68719476767 (bits=37), N=8192
s,model,trials,miss_rate,det_intra_only,det_sum_only,det_both,undetected
Fold s=19 | Protection={Intra } | Fault=Type3: flip two bits in one element | Trials=10000 | MissRate=0.019600 | Det(IntraOnly)=9804 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=196
Fold s=19 | Protection={Intra } | Fault=Type4: flip one bit in two elements | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=20 | Protection={Intra } | Fault=Type1: randomize one element | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=20 | Protection={Intra } | Fault=Type2: randomize two elements | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=20 | Protection={Intra } | Fault=Type3: flip two bits in one element | Trials=10000 | MissRate=0.017500 | Det(IntraOnly)=9825 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=175
Fold s=20 | Protection={Intra } | Fault=Type4: flip one bit in two elements | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=21 | Protection={Intra } | Fault=Type1: randomize one element | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=21 | Protection={Intra } | Fault=Type2: randomize two elements | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=21 | Protection={Intra } | Fault=Type3: flip two bits in one element | Trials=10000 | MissRate=0.017300 | Det(IntraOnly)=9827 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=173
Fold s=21 | Protection={Intra } | Fault=Type4: flip one bit in two elements | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=22 | Protection={Intra } | Fault=Type1: randomize one element | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=22 | Protection={Intra } | Fault=Type2: randomize two elements | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=22 | Protection={Intra } | Fault=Type3: flip two bits in one element | Trials=10000 | MissRate=0.017800 | Det(IntraOnly)=9822 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=178
Fold s=22 | Protection={Intra } | Fault=Type4: flip one bit in two elements | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=23 | Protection={Intra } | Fault=Type1: randomize one element | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=23 | Protection={Intra } | Fault=Type2: randomize two elements | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=23 | Protection={Intra } | Fault=Type3: flip two bits in one element | Trials=10000 | MissRate=0.015400 | Det(IntraOnly)=9846 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=154
Fold s=23 | Protection={Intra } | Fault=Type4: flip one bit in two elements | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=24 | Protection={Intra } | Fault=Type1: randomize one element | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=24 | Protection={Intra } | Fault=Type2: randomize two elements | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=24 | Protection={Intra } | Fault=Type3: flip two bits in one element | Trials=10000 | MissRate=0.013400 | Det(IntraOnly)=9866 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=134
Fold s=24 | Protection={Intra } | Fault=Type4: flip one bit in two elements | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=25 | Protection={Intra } | Fault=Type1: randomize one element | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=25 | Protection={Intra } | Fault=Type2: randomize two elements | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=25 | Protection={Intra } | Fault=Type3: flip two bits in one element | Trials=10000 | MissRate=0.014300 | Det(IntraOnly)=9857 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=143
Fold s=25 | Protection={Intra } | Fault=Type4: flip one bit in two elements | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=26 | Protection={Intra } | Fault=Type1: randomize one element | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=26 | Protection={Intra } | Fault=Type2: randomize two elements | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
Fold s=26 | Protection={Intra } | Fault=Type3: flip two bits in one element | Trials=10000 | MissRate=0.011900 | Det(IntraOnly)=9881 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=119
Fold s=26 | Protection={Intra } | Fault=Type4: flip one bit in two elements | Trials=10000 | MissRate=0.000000 | Det(IntraOnly)=10000 | Det(SumOnly)=0 | Det(Both)=0 | Undetected=0
